repeat,scenario,controller,case,rows,min_h,final_goal_distance,max_correction,success,mean_wind_vx,mean_wind_vy
r01,large_obstacle,baseline_no_cbf,r01_large_obstacle_baseline_no_cbf,360,-0.9433732630891769,0.9213343907017625,0.0,0,0.0,0.0
r02,large_obstacle,baseline_no_cbf,r02_large_obstacle_baseline_no_cbf,360,-0.9987651338073626,1.0099234619267652,0.0,0,0.0,0.0
r03,large_obstacle,baseline_no_cbf,r03_large_obstacle_baseline_no_cbf,360,-1.0707844658741643,1.0243100270432222,0.0,0,0.0,0.0
r01,large_obstacle,cbf_velocity_filter,r01_large_obstacle_cbf_velocity_filter,360,0.3607490140186136,2.424858423591128,0.20312703804523208,1,0.0,0.0
r02,large_obstacle,cbf_velocity_filter,r02_large_obstacle_cbf_velocity_filter,360,0.3001120310731493,2.3851231600792695,0.21295498964195952,1,0.0,0.0
r03,large_obstacle,cbf_velocity_filter,r03_large_obstacle_cbf_velocity_filter,360,0.2618309577874185,2.361616315234179,0.22597063615599702,1,0.0,0.0
r01,multi_obstacle,baseline_no_cbf,r01_multi_obstacle_baseline_no_cbf,360,-0.5212176716759643,0.7878589868133271,0.0,0,0.0,0.0
r02,multi_obstacle,baseline_no_cbf,r02_multi_obstacle_baseline_no_cbf,360,-0.5406879838598513,0.7141588214607403,0.0,0,0.0,0.0
r03,multi_obstacle,baseline_no_cbf,r03_multi_obstacle_baseline_no_cbf,360,-0.5698693044546076,0.8506030787188636,0.0,0,0.0,0.0
r01,multi_obstacle,cbf_velocity_filter,r01_multi_obstacle_cbf_velocity_filter,360,0.04743185472025324,2.134561459050294,0.3212250967492765,1,0.0,0.0
r02,multi_obstacle,cbf_velocity_filter,r02_multi_obstacle_cbf_velocity_filter,360,0.09173009253522113,2.2554211801658757,0.3067029491098805,1,0.0,0.0
r03,multi_obstacle,cbf_velocity_filter,r03_multi_obstacle_cbf_velocity_filter,360,0.07150528587494609,2.278073085409297,0.3128747800784839,1,0.0,0.0
r01,narrow_passage,baseline_no_cbf,r01_narrow_passage_baseline_no_cbf,360,0.3413465762481668,1.1505446978087563,0.0,1,0.0,0.0
r02,narrow_passage,baseline_no_cbf,r02_narrow_passage_baseline_no_cbf,360,0.340165235092985,1.035547003862192,0.0,1,0.0,0.0
r03,narrow_passage,baseline_no_cbf,r03_narrow_passage_baseline_no_cbf,360,0.36626200776429607,1.1270876292117464,0.0,1,0.0,0.0
r01,narrow_passage,cbf_velocity_filter,r01_narrow_passage_cbf_velocity_filter,360,0.36435482622065607,1.1854942933036428,0.0,1,0.0,0.0
r02,narrow_passage,cbf_velocity_filter,r02_narrow_passage_cbf_velocity_filter,360,0.3739925565575848,1.138795465386863,0.012361143830834047,1,0.0,0.0
r03,narrow_passage,cbf_velocity_filter,r03_narrow_passage_cbf_velocity_filter,360,0.3584375650703012,1.1450904479300459,0.0,1,0.0,0.0
r01,single_obstacle,baseline_no_cbf,r01_single_obstacle_baseline_no_cbf,360,-0.4856559881100164,1.08956093145365,0.0,0,0.0,0.0
r02,single_obstacle,baseline_no_cbf,r02_single_obstacle_baseline_no_cbf,360,-0.42988081126874,1.0137549318205208,0.0,0,0.0,0.0
r03,single_obstacle,baseline_no_cbf,r03_single_obstacle_baseline_no_cbf,360,-0.39934917109588675,0.9913896445433418,0.0,0,0.0,0.0
r01,single_obstacle,cbf_velocity_filter,r01_single_obstacle_cbf_velocity_filter,360,0.1607993455503678,1.3125335146695831,0.18908242978196357,1,0.0,0.0
r02,single_obstacle,cbf_velocity_filter,r02_single_obstacle_cbf_velocity_filter,360,0.17479243606977057,1.3552291527640026,0.18190032647938018,1,0.0,0.0
r03,single_obstacle,cbf_velocity_filter,r03_single_obstacle_cbf_velocity_filter,360,0.21956234013416953,1.3988299624493816,0.19454282698031697,1,0.0,0.0
r01,wind_bias,baseline_no_cbf,r01_wind_bias_baseline_no_cbf,360,-1.2942801079610733,1.8649157841372133,0.0,0,0.1,-0.18
r02,wind_bias,baseline_no_cbf,r02_wind_bias_baseline_no_cbf,360,-1.2369980590571092,1.859917185734755,0.0,0,0.1,-0.18
r03,wind_bias,baseline_no_cbf,r03_wind_bias_baseline_no_cbf,360,-1.2686146571759531,1.8403073642528405,0.0,0,0.1,-0.18
r01,wind_bias,cbf_velocity_filter,r01_wind_bias_cbf_velocity_filter,360,0.7589259135611801,4.456390391895167,0.30528137301478486,1,0.1,-0.18
r02,wind_bias,cbf_velocity_filter,r02_wind_bias_cbf_velocity_filter,360,0.7368652495763062,4.266081337002956,0.31043675629908485,1,0.1,-0.18
r03,wind_bias,cbf_velocity_filter,r03_wind_bias_cbf_velocity_filter,360,0.7159550261565553,4.234626189898526,0.33239273477192677,1,0.1,-0.18
